ID Soal,Driver,Sub Composite,Jenis,Pertanyaan
40,Growth,Self-Expansion,Reverse,Saya lebih memilih bertahan dengan cara-cara yang sudah saya kuasai daripada mencoba sesuatu yang baru.
41,Contribution,Service,Normal,"Saya biasanya menawarkan bantuan begitu melihat seseorang kesulitan, meski mereka belum memintanya."
42,Contribution,Service,Reverse,Saya biasanya menunggu diminta secara langsung sebelum ikut membantu seseorang.
43,Contribution,Value Creation,Normal,"Saya lebih suka mengerjakan sesuatu yang jelas manfaatnya bagi orang lain, dibanding sesuatu yang sekadar terlihat menarik."
44,Contribution,Value Creation,Reverse,"Bagi saya, seberapa menarik tampilan suatu hasil kerja cukup penting, terlepas dari seberapa besar manfaatnya."
45,Contribution,Influence,Normal,"Sikap dan kebiasaan saya cukup sering diikuti oleh orang-orang di sekitar saya, tanpa saya memintanya."
46,Contribution,Influence,Reverse,Saya jarang memperhatikan apakah sikap saya berpengaruh terhadap cara orang lain bersikap.
47,Contribution,Stewardship,Normal,"Sebelum memutuskan sesuatu, saya biasanya memikirkan bagaimana dampaknya beberapa tahun ke depan, bukan cuma sekarang."
48,Contribution,Stewardship,Reverse,"Saya lebih fokus menyelesaikan sesuatu untuk kebutuhan saat ini, tanpa terlalu memikirkan dampak jangka panjangnya."
49,Contribution,Legacy,Normal,Saya cukup sering memikirkan apa yang ingin saya tinggalkan yang masih bisa bermanfaat meski saya sudah tidak terlibat lagi.
50,Contribution,Legacy,Reverse,Saya jarang memikirkan apa yang akan tersisa dari sesuatu yang saya kerjakan setelah saya selesai terlibat.
51,Security,Stability,Normal,Saya cenderung menata barang dan ruang kerja saya dengan cara yang sama dari waktu ke waktu.
52,Security,Stability,Reverse,Saya tidak keberatan kalau susunan barang atau ruang kerja saya berubah-ubah dari hari ke hari.
53,Security,Certainty,Normal,"Sebelum memulai proyek baru, saya biasanya ingin tahu dulu apa saja yang diharapkan dari saya."
54,Security,Certainty,Reverse,Saya cukup nyaman memulai proyek baru meski belum jelas apa saja yang diharapkan dari saya.
55,Security,Trustworthiness,Normal,Orang-orang di sekitar saya cenderung tahu persis apa yang bisa mereka harapkan dari saya.
56,Security,Trustworthiness,Reverse,Sikap saya terhadap suatu hal bisa cukup berbeda tergantung suasana hati saya saat itu.
57,Security,Authenticity,Normal,"Saya tetap bersikap sama, baik saat sedang diperhatikan banyak orang maupun saat sendirian."
58,Security,Authenticity,Reverse,Saya cenderung menampilkan sisi diri yang berbeda tergantung siapa yang sedang saya hadapi.
59,Security,Resilience,Normal,Saya masih bisa berpikir cukup jernih meski sedang berada dalam situasi yang menekan.
60,Security,Resilience,Reverse,Pikiran saya cenderung kacau begitu situasi yang saya hadapi berubah jadi menekan.
61,Significance,Recognition,Normal,"Saya cukup nyaman kalau hasil kerja saya dianggap biasa saja oleh orang lain, selama saya tahu saya sudah berusaha maksimal."
62,Significance,Recognition,Reverse,"Saya ingin usaha saya diketahui orang lain, bukan cuma disimpan untuk diri sendiri."
63,Significance,Achievement,Normal,"Saya biasanya mengukur kemajuan saya dari waktu ke waktu, bukan cuma dari hasil akhirnya saja."
64,Significance,Achievement,Reverse,Saya jarang benar-benar memeriksa apakah saya sudah membuat kemajuan atau belum.
65,Significance,Self-Worth,Normal,Rasa percaya diri saya tidak banyak berubah walau sedang menghadapi kegagalan.
66,Significance,Self-Worth,Reverse,Rasa percaya diri saya cukup mudah goyah begitu saya mengalami kegagalan.
67,Significance,Competence,Normal,"Saya senang mencari umpan balik tentang cara saya bekerja, meski itu tidak menyenangkan untuk didengar."
68,Significance,Competence,Reverse,Saya jarang secara sengaja mencari tahu kekurangan dalam cara saya bekerja.
69,Significance,Confidence,Normal,"Saya biasanya berani menyampaikan pendapat saya duluan, sebelum orang lain menyampaikan pendapatnya."
70,Significance,Confidence,Reverse,Saya cenderung menunggu orang lain bicara dulu sebelum saya menyampaikan pendapat saya.
71,Connection,Belonging,Normal,Saya merasa lebih baik menjalani hari kalau ada orang lain yang tahu apa yang sedang saya kerjakan.
72,Connection,Belonging,Reverse,Saya tidak terlalu peduli apakah orang lain tahu apa yang sedang saya kerjakan atau tidak.
73,Connection,Trust,Normal,Saya biasanya bersedia membagikan tugas penting ke orang lain tanpa harus mengawasi setiap langkahnya.
74,Connection,Trust,Reverse,Saya lebih suka mengerjakan sendiri hal-hal penting daripada membagikannya ke orang lain.
75,Connection,Empathy,Normal,"Saya sering menyadari kalau ada seseorang di sekitar saya yang sedang tidak baik-baik saja, meski mereka tidak bilang apa-apa."
76,Connection,Empathy,Reverse,Saya biasanya baru menyadari ada yang tidak beres pada seseorang setelah mereka mengatakannya secara langsung.
77,Connection,Intimacy,Normal,Saya cukup nyaman menunjukkan sisi diri saya yang rapuh kepada orang-orang tertentu.
78,Connection,Intimacy,Reverse,"Saya cenderung menjaga jarak emosional, bahkan dengan orang-orang yang cukup dekat dengan saya."
79,Connection,Acceptance,Normal,Saya bisa tetap menghargai seseorang meski cara hidupnya sangat berbeda dari cara hidup saya.
80,Connection,Acceptance,Reverse,Saya cukup sulit menghargai seseorang yang cara hidupnya sangat berbeda dari cara hidup saya.
81,Growth,Curiosity,Normal,Saya senang bertanya kenapa atau bagaimana tentang hal-hal yang sebenarnya tidak wajib saya ketahui.
82,Growth,Curiosity,Reverse,Saya jarang penasaran dengan hal-hal yang tidak berhubungan langsung dengan kebutuhan saya.
83,Growth,Learning,Normal,Saya cukup sering meluangkan waktu khusus di luar pekerjaan untuk mempelajari sesuatu yang baru.
84,Growth,Learning,Reverse,Waktu luang saya jarang saya pakai untuk mempelajari hal baru.
85,Growth,Adaptability,Normal,Saya bisa cukup cepat mengubah cara kerja saya begitu tahu caranya yang lama sudah tidak lagi efektif.
86,Growth,Adaptability,Reverse,Saya cenderung tetap memakai cara kerja lama meski sudah tahu ada cara yang lebih efektif.
87,Growth,Mastery,Normal,Saya cukup sering membandingkan hasil kerja saya sekarang dengan standar terbaik yang pernah saya capai.
88,Growth,Mastery,Reverse,"Saya jarang membandingkan hasil kerja saya dengan standar tertentu, yang penting selesai."
89,Growth,Self-Expansion,Normal,Saya cukup sering sengaja menempatkan diri saya di situasi yang belum pernah saya coba sebelumnya.
90,Growth,Self-Expansion,Reverse,Saya cenderung menghindari situasi yang belum pernah saya coba sebelumnya.
91,Contribution,Service,Normal,"Saya sering memperhatikan kebutuhan orang lain di sekitar saya, meski itu bukan tanggung jawab saya secara langsung."
92,Contribution,Service,Reverse,Saya cenderung fokus pada tanggung jawab saya sendiri dan tidak terlalu memperhatikan kebutuhan orang lain di luar itu.
93,Contribution,Value Creation,Normal,"Saya lebih puas kalau tahu hasil kerja saya benar-benar dipakai orang lain, dibanding sekadar selesai tepat waktu."
94,Contribution,Value Creation,Reverse,"Bagi saya, yang penting suatu pekerjaan selesai tepat waktu, terlepas dari seberapa banyak yang benar-benar memakainya."
95,Contribution,Influence,Normal,"Orang lain cukup sering meniru cara saya menyelesaikan sesuatu, tanpa saya minta."
96,Contribution,Influence,Reverse,Saya jarang memperhatikan apakah cara saya menyelesaikan sesuatu ditiru orang lain atau tidak.
97,Contribution,Stewardship,Normal,"Saya cenderung menjaga sumber daya (waktu, anggaran, alat) seolah-olah itu akan dipakai orang lain setelah saya."
98,Contribution,Stewardship,Reverse,Saya cenderung memakai sumber daya yang ada secukupnya untuk kebutuhan saya saat ini saja.
99,Contribution,Legacy,Normal,"Saya senang membangun sesuatu yang bisa terus dipakai atau dilanjutkan orang lain, bahkan setelah saya tidak terlibat."
100,Contribution,Legacy,Reverse,"Saya lebih fokus menyelesaikan sesuatu untuk saat ini, tanpa terlalu memikirkan apakah itu akan berlanjut nantinya."
101,General (Modul Validitas),-,Consistency (pasangan dgn 102),Saya berusaha membaca setiap pernyataan dengan cermat sebelum menjawab.
102,General (Modul Validitas),-,Consistency (pasangan dgn 101),Saya meluangkan waktu untuk memahami maksud sebuah pernyataan sebelum memilih jawaban.
103,General (Modul Validitas),-,Authenticity (absolut),Saya tidak pernah merasa ragu ketika harus mengambil keputusan penting.
104,General (Modul Validitas),-,Authenticity (absolut),Saya selalu bisa mengendalikan emosi saya dalam situasi apa pun.
105,General (Modul Validitas),-,Consistency (pasangan dgn 106),"Saya cenderung memberi jawaban yang benar-benar mencerminkan diri saya, bukan yang terdengar ideal."
106,General (Modul Validitas),-,Consistency (pasangan dgn 105),Saya lebih memilih menjawab secara jujur meskipun jawabannya tidak terlihat sempurna.
